task_id,project_id,priority,status,due_in_days,delay_days
68,5,MEDIUM,DONE,45,6.97
69,5,MEDIUM,DONE,20,8.48
70,5,HIGH,DONE,14,7.44
71,5,MEDIUM,DONE,39,4.23
72,5,MEDIUM,DONE,28,6.83
73,5,LOW,DONE,10,7.19
74,5,HIGH,DONE,18,10.08
75,5,LOW,DONE,3,11.37
76,5,HIGH,DELAYED,55,6.37
77,5,MEDIUM,BLOCKED,23,4.02
78,5,MEDIUM,BLOCKED,26,11.44
79,5,MEDIUM,BLOCKED,13,8.89
80,6,MEDIUM,DONE,36,22.43
81,6,LOW,DONE,56,13.68
82,6,LOW,DONE,34,17.21
83,6,LOW,DONE,14,14.49
84,6,LOW,DONE,29,13.78
85,6,MEDIUM,DONE,16,12.74
86,6,MEDIUM,DELAYED,10,14.58
87,6,HIGH,BLOCKED,127,10.24
88,7,MEDIUM,DONE,73,2.58
89,7,MEDIUM,DONE,50,1.97
90,7,MEDIUM,DONE,31,6.84
91,7,MEDIUM,DONE,58,1.81
92,7,MEDIUM,DONE,83,1.3
93,7,LOW,DONE,47,4.77
94,7,MEDIUM,DONE,85,2.29
95,7,LOW,DONE,76,8.63
96,7,MEDIUM,DONE,2,7.23
97,7,MEDIUM,DONE,64,1.67
98,7,MEDIUM,DONE,64,0.0
99,7,MEDIUM,DONE,39,3.06
100,7,MEDIUM,DONE,29,4.2
101,7,LOW,DONE,5,10.22
102,7,HIGH,DONE,34,9.37
103,7,LOW,DONE,44,6.98
104,7,HIGH,DONE,75,3.17
105,7,HIGH,DONE,34,0.95
106,7,MEDIUM,DONE,17,3.51
107,7,HIGH,DONE,5,5.61
108,7,MEDIUM,DELAYED,56,6.36
109,7,MEDIUM,DELAYED,19,2.77
110,7,MEDIUM,DELAYED,68,6.36
111,7,MEDIUM,DELAYED,83,2.69
112,7,HIGH,DELAYED,58,2.67
113,8,LOW,DONE,54,9.77
114,8,MEDIUM,DONE,77,6.41
115,8,LOW,DONE,130,9.54
116,8,HIGH,DONE,124,7.9
117,8,MEDIUM,DONE,84,10.07
118,8,LOW,DELAYED,87,13.24
119,8,MEDIUM,BLOCKED,24,7.68
120,8,LOW,BLOCKED,106,7.45
121,8,MEDIUM,BLOCKED,1,11.92
122,8,MEDIUM,TODO,59,7.78
123,8,LOW,IN_PROGRESS,84,5.5
124,8,MEDIUM,IN_PROGRESS,44,7.42
125,8,MEDIUM,IN_PROGRESS,75,9.45
126,9,MEDIUM,DONE,7,13.49
127,9,MEDIUM,DONE,78,13.15
128,9,HIGH,DONE,29,7.98
129,9,MEDIUM,DELAYED,43,18.46
130,10,HIGH,DONE,5,13.98
131,10,MEDIUM,DONE,51,10.93
132,10,HIGH,DONE,8,8.68
133,10,MEDIUM,DONE,56,14.98
134,10,MEDIUM,DONE,56,12.58
135,10,MEDIUM,BLOCKED,42,12.08
136,10,MEDIUM,TODO,45,8.34
137,10,MEDIUM,IN_PROGRESS,18,12.24
138,10,HIGH,IN_PROGRESS,53,12.4
139,10,LOW,IN_PROGRESS,23,18.01
140,10,HIGH,IN_PROGRESS,51,17.53
141,11,MEDIUM,DONE,71,10.47
142,11,MEDIUM,DONE,78,17.03
143,11,LOW,DONE,27,15.82
144,11,HIGH,DONE,125,14.3
145,11,MEDIUM,DONE,73,13.16
146,11,MEDIUM,DONE,117,14.79
147,11,HIGH,DONE,101,19.39
148,11,MEDIUM,DONE,30,8.09
149,11,MEDIUM,DONE,103,16.63
150,11,MEDIUM,DONE,52,16.03
151,11,MEDIUM,DONE,72,17.15
152,11,MEDIUM,DELAYED,115,16.45
153,11,MEDIUM,DELAYED,50,9.94
154,11,HIGH,BLOCKED,77,8.92
155,11,MEDIUM,IN_PROGRESS,9,11.11
156,11,MEDIUM,TODO,39,12.89
157,11,HIGH,IN_PROGRESS,74,17.89
158,11,HIGH,TODO,74,13.55
159,11,MEDIUM,IN_PROGRESS,108,16.98
160,12,MEDIUM,DONE,143,16.05
161,12,MEDIUM,DONE,110,11.41
162,12,MEDIUM,DONE,122,13.81
163,12,MEDIUM,DONE,53,15.15
164,12,HIGH,DELAYED,26,11.11
165,12,MEDIUM,DELAYED,125,18.14
166,12,MEDIUM,DELAYED,21,14.22
167,13,HIGH,DONE,80,5.42
168,13,MEDIUM,DONE,20,9.79
169,13,MEDIUM,DONE,55,6.94
170,13,LOW,DONE,6,10.18
171,13,MEDIUM,DONE,53,0.16
172,13,HIGH,DONE,53,4.82
173,13,MEDIUM,DONE,18,3.41
174,13,MEDIUM,DONE,77,0.21
175,13,LOW,DONE,19,9.34
176,13,MEDIUM,DONE,53,2.38
177,13,HIGH,DONE,83,4.38
178,13,HIGH,DONE,51,6.97
179,13,MEDIUM,DONE,70,6.66
180,13,HIGH,DONE,61,2.14
181,13,LOW,DELAYED,10,9.04
182,13,MEDIUM,DELAYED,9,6.68
183,13,HIGH,DELAYED,67,6.39
184,13,HIGH,DELAYED,22,7.6
185,13,HIGH,BLOCKED,88,2.06
186,13,MEDIUM,IN_PROGRESS,11,5.97
187,13,LOW,TODO,26,6.01
188,13,MEDIUM,TODO,76,3.72
189,13,HIGH,IN_PROGRESS,69,4.97
190,13,LOW,IN_PROGRESS,46,1.57
191,14,MEDIUM,DONE,106,17.35
192,14,LOW,DONE,55,12.46
193,14,LOW,DONE,34,10.71
194,14,LOW,DONE,145,12.69
195,14,MEDIUM,DONE,87,17.11
196,14,MEDIUM,DONE,47,15.78
197,14,MEDIUM,DONE,112,16.48
198,14,HIGH,DONE,113,9.02
199,14,MEDIUM,DONE,10,12.24
200,14,HIGH,DONE,77,8.4
201,14,MEDIUM,DONE,142,16.18
202,14,HIGH,DONE,75,15.6
203,14,MEDIUM,DONE,158,12.59
204,14,MEDIUM,DELAYED,108,15.54
205,14,HIGH,DELAYED,63,10.84
206,14,MEDIUM,DELAYED,72,11.88
207,14,MEDIUM,DELAYED,147,15.02
208,15,MEDIUM,DONE,151,6.97
209,15,MEDIUM,DONE,64,5.81
210,15,MEDIUM,DONE,129,10.37
211,15,MEDIUM,DONE,20,5.18
212,15,LOW,DONE,116,2.0
213,15,LOW,DONE,96,3.62
214,15,MEDIUM,DONE,19,6.48
215,15,MEDIUM,DONE,43,7.77
216,15,LOW,DONE,30,10.08
217,15,MEDIUM,DONE,15,10.27
218,15,MEDIUM,DONE,64,9.77
219,15,LOW,DELAYED,4,7.77
220,16,LOW,DONE,169,11.33
221,16,MEDIUM,DONE,115,11.03
222,16,LOW,DONE,111,9.93
223,16,MEDIUM,DONE,105,6.04
224,16,MEDIUM,DONE,121,10.1
225,16,MEDIUM,DONE,57,12.03
226,16,HIGH,DELAYED,27,8.47
227,16,MEDIUM,DELAYED,134,7.56
228,16,LOW,DELAYED,171,6.72
229,16,LOW,DELAYED,29,9.64
230,16,MEDIUM,DELAYED,101,16.92
231,16,MEDIUM,DELAYED,88,9.27
232,16,MEDIUM,DELAYED,102,7.93
233,16,MEDIUM,BLOCKED,135,5.71
234,16,MEDIUM,TODO,81,8.09
235,17,LOW,DONE,47,12.11
236,17,MEDIUM,DONE,33,14.57
237,17,LOW,DONE,56,11.31
238,17,HIGH,DONE,150,16.24
239,17,MEDIUM,DONE,17,10.71
240,17,MEDIUM,DONE,138,9.08
241,17,LOW,DONE,47,11.69
242,17,MEDIUM,DONE,42,16.73
243,17,MEDIUM,DONE,22,9.7
244,17,MEDIUM,DONE,112,18.96
245,17,HIGH,DONE,117,6.6
246,17,MEDIUM,DELAYED,122,18.03
247,17,LOW,DELAYED,17,10.24
248,17,LOW,DELAYED,159,13.97
249,17,MEDIUM,BLOCKED,91,11.37
250,17,HIGH,BLOCKED,23,15.7
251,17,MEDIUM,BLOCKED,51,9.25
252,17,MEDIUM,BLOCKED,22,15.91
253,18,MEDIUM,DONE,17,7.18
254,18,MEDIUM,DONE,48,7.76
255,18,MEDIUM,DONE,41,2.99
256,18,MEDIUM,DONE,51,5.61
257,18,MEDIUM,DONE,32,3.44
258,18,MEDIUM,DONE,26,6.84
259,18,MEDIUM,DONE,46,2.69
260,18,MEDIUM,DONE,46,7.41
261,18,LOW,DONE,20,1.7
262,18,HIGH,DONE,14,4.45
263,18,MEDIUM,DONE,49,9.58
264,18,MEDIUM,DONE,1,6.4
265,18,HIGH,DONE,36,7.45
266,18,MEDIUM,DONE,41,2.46
267,18,MEDIUM,DELAYED,17,4.66
268,18,MEDIUM,BLOCKED,35,6.23
269,18,LOW,BLOCKED,44,7.27
270,19,MEDIUM,DONE,86,23.72
271,19,MEDIUM,DONE,24,15.73
272,19,HIGH,DONE,10,22.63
273,19,HIGH,DONE,107,15.93
274,19,MEDIUM,DELAYED,1,19.91
275,19,MEDIUM,DELAYED,81,18.95
276,19,LOW,BLOCKED,33,15.47
277,20,LOW,DONE,41,8.92
278,20,MEDIUM,DONE,13,7.8
279,20,HIGH,DONE,34,6.91
280,20,HIGH,DONE,30,9.13
281,20,MEDIUM,DONE,89,10.5
282,20,LOW,DONE,51,10.89
283,20,MEDIUM,DELAYED,105,6.93
284,20,MEDIUM,DELAYED,40,13.21
285,21,LOW,DONE,17,11.19
286,21,HIGH,DONE,8,11.12
287,21,LOW,DONE,27,11.6
288,21,MEDIUM,DONE,31,19.96
289,21,LOW,DONE,47,11.67
290,21,MEDIUM,DONE,1,13.85
291,21,HIGH,DONE,19,10.01
292,21,HIGH,DONE,25,7.83
293,21,MEDIUM,DONE,40,16.35
294,21,LOW,DONE,21,7.37
295,21,MEDIUM,DONE,1,15.69
296,21,LOW,DELAYED,30,13.23
297,21,LOW,DELAYED,21,11.13
298,21,MEDIUM,DELAYED,48,9.83
299,21,LOW,DELAYED,60,15.45
300,21,MEDIUM,BLOCKED,4,15.36
301,21,LOW,BLOCKED,43,18.02
302,21,HIGH,IN_PROGRESS,41,18.58
303,21,MEDIUM,IN_PROGRESS,41,10.98
304,21,MEDIUM,IN_PROGRESS,43,12.68
305,21,MEDIUM,IN_PROGRESS,1,8.66
306,21,LOW,TODO,61,17.39
307,21,LOW,IN_PROGRESS,5,14.79
308,21,LOW,TODO,15,8.8
309,21,MEDIUM,IN_PROGRESS,34,14.61
310,22,LOW,DONE,114,11.73
311,22,MEDIUM,DONE,120,13.85
312,22,LOW,DONE,98,17.03
313,22,LOW,DONE,101,6.74
314,22,MEDIUM,DONE,35,10.44
315,22,HIGH,DONE,36,8.65
316,22,HIGH,DONE,86,5.21
317,22,LOW,DONE,37,6.11
318,22,MEDIUM,DONE,80,15.95
319,22,MEDIUM,DELAYED,46,5.84
320,23,MEDIUM,DONE,17,8.62
321,23,MEDIUM,DONE,47,3.22
322,23,MEDIUM,DONE,24,10.39
323,23,LOW,DONE,16,5.55
324,23,LOW,DONE,47,10.2
325,23,LOW,DONE,18,4.4
326,23,MEDIUM,DELAYED,18,7.43
327,23,MEDIUM,DELAYED,5,4.24
328,23,LOW,DELAYED,57,4.96
329,23,LOW,DELAYED,45,11.68
330,24,LOW,DONE,53,9.49
331,24,MEDIUM,DONE,2,13.25
332,24,LOW,DONE,41,14.19
333,24,MEDIUM,DONE,40,14.76
334,24,MEDIUM,DONE,47,14.14
335,24,HIGH,DONE,24,6.15
336,24,MEDIUM,DONE,49,11.9
337,24,HIGH,DONE,31,10.95
338,24,HIGH,DONE,21,7.24
339,24,LOW,DONE,60,9.79
340,24,MEDIUM,DONE,4,7.91
341,24,HIGH,DELAYED,52,12.77
342,24,MEDIUM,DELAYED,60,13.36
343,24,LOW,DELAYED,13,14.48
344,24,LOW,DELAYED,48,11.91
345,24,LOW,BLOCKED,63,12.15
346,25,MEDIUM,DONE,30,12.84
347,25,HIGH,DONE,56,10.58
348,25,MEDIUM,DONE,30,12.38
349,25,LOW,DONE,55,5.6
350,25,MEDIUM,DONE,72,11.4
351,25,MEDIUM,DONE,107,12.87
352,25,MEDIUM,DONE,142,8.1
353,25,LOW,DONE,6,16.74
354,25,MEDIUM,DONE,48,12.65
355,25,MEDIUM,DONE,57,16.16
356,25,MEDIUM,DONE,138,11.63
357,25,MEDIUM,DONE,51,9.78
358,25,MEDIUM,DONE,110,10.77
359,25,MEDIUM,DONE,53,14.68
360,25,MEDIUM,DONE,1,12.1
361,25,HIGH,DONE,142,15.18
362,25,MEDIUM,DONE,116,14.31
363,25,HIGH,DONE,68,20.04
364,25,HIGH,DONE,6,23.12
365,25,HIGH,DONE,46,15.31
366,25,MEDIUM,DELAYED,90,12.52
367,25,HIGH,DELAYED,109,15.79
368,26,HIGH,DONE,5,5.82
369,26,HIGH,DONE,9,2.95
370,26,MEDIUM,DONE,150,5.02
371,26,MEDIUM,DONE,123,3.77
372,26,LOW,DONE,18,4.12
373,26,LOW,DONE,81,1.73
374,26,MEDIUM,DONE,51,3.92
375,26,LOW,DONE,12,7.31
376,26,MEDIUM,DONE,145,4.27
377,26,MEDIUM,DONE,59,6.58
378,26,LOW,DONE,27,5.16
379,26,HIGH,DONE,73,2.55
380,26,MEDIUM,DONE,140,0.0
381,26,MEDIUM,DONE,128,3.39
382,26,MEDIUM,DONE,13,5.46
383,26,LOW,DELAYED,102,5.61
384,26,LOW,DELAYED,102,6.42
385,26,MEDIUM,DELAYED,18,4.12
386,27,HIGH,DONE,5,8.68
387,27,MEDIUM,DONE,3,5.69
388,27,LOW,DONE,55,7.63
389,27,HIGH,DONE,41,3.05
390,27,MEDIUM,DONE,68,2.52
391,27,MEDIUM,DONE,44,4.56
392,27,MEDIUM,DONE,66,4.99
393,27,MEDIUM,DONE,58,2.13
394,27,HIGH,DONE,25,10.18
395,27,MEDIUM,DELAYED,131,10.86
396,27,HIGH,DELAYED,127,9.83
397,28,MEDIUM,DONE,113,3.48
398,28,HIGH,DONE,115,3.54
399,28,MEDIUM,DONE,59,2.79
400,28,MEDIUM,DONE,1,0.2
401,28,MEDIUM,DONE,65,4.28
402,28,MEDIUM,DONE,123,8.77
403,28,MEDIUM,DONE,19,7.34
404,28,HIGH,DONE,150,3.46
405,28,MEDIUM,DONE,129,1.18
406,28,HIGH,DONE,26,2.28
407,28,HIGH,DONE,128,3.27
408,28,MEDIUM,DONE,17,2.01
409,28,LOW,DONE,141,1.87
410,28,MEDIUM,DELAYED,24,1.52
411,28,LOW,DELAYED,4,5.25
412,28,MEDIUM,DELAYED,72,5.3
413,28,MEDIUM,DELAYED,108,3.84
414,28,MEDIUM,DELAYED,90,2.45
415,28,HIGH,IN_PROGRESS,68,0.0
416,28,MEDIUM,IN_PROGRESS,35,9.33
417,29,MEDIUM,DONE,26,6.67
418,29,HIGH,DONE,67,9.54
419,29,HIGH,DONE,14,9.24
420,29,MEDIUM,DONE,43,7.41
421,29,HIGH,DONE,63,5.9
422,29,MEDIUM,DONE,67,5.77
423,29,MEDIUM,DONE,34,10.94
424,29,MEDIUM,DELAYED,55,9.85
425,29,HIGH,BLOCKED,56,8.4
426,29,MEDIUM,BLOCKED,45,8.52
427,30,HIGH,DONE,119,13.16
428,30,MEDIUM,DONE,141,13.43
429,30,LOW,DONE,1,14.06
430,30,HIGH,DONE,80,12.21
431,30,LOW,DONE,40,9.32
432,30,MEDIUM,DONE,40,13.24
433,30,MEDIUM,DONE,83,11.75
434,30,MEDIUM,DONE,98,11.53
435,30,MEDIUM,DELAYED,57,13.5
436,30,HIGH,DELAYED,26,14.9
437,30,MEDIUM,DELAYED,116,9.64
438,30,MEDIUM,DELAYED,72,13.14
439,30,HIGH,DELAYED,33,11.29
440,30,LOW,BLOCKED,107,16.9
441,31,LOW,DONE,8,10.28
442,31,HIGH,DONE,33,7.62
443,31,MEDIUM,DONE,41,13.16
444,31,MEDIUM,DONE,110,9.6
445,31,MEDIUM,DONE,25,10.3
446,31,LOW,DONE,59,7.91
447,31,LOW,DONE,19,2.43
448,31,HIGH,DONE,56,9.8
449,31,MEDIUM,DONE,104,10.06
450,31,MEDIUM,DELAYED,39,7.94
451,32,MEDIUM,DONE,1,12.35
452,32,MEDIUM,DONE,22,18.25
453,32,LOW,DONE,75,9.9
454,32,MEDIUM,DONE,44,14.27
455,32,LOW,DONE,30,18.47
456,32,MEDIUM,DONE,76,13.95
457,32,MEDIUM,DONE,36,12.33
458,32,LOW,DONE,38,8.51
459,32,MEDIUM,DONE,124,11.96
460,32,LOW,DONE,86,13.27
461,32,MEDIUM,DELAYED,102,11.41
462,32,HIGH,DELAYED,55,13.87
463,32,HIGH,DELAYED,73,11.29
464,32,HIGH,DELAYED,95,15.96
465,32,HIGH,DELAYED,102,12.11
466,32,MEDIUM,DELAYED,117,13.55
467,32,HIGH,BLOCKED,19,18.07
468,33,MEDIUM,DONE,76,7.71
469,33,MEDIUM,DONE,115,9.1
470,33,LOW,DONE,5,6.25
471,33,LOW,DONE,136,4.22
472,33,MEDIUM,DONE,137,8.15
473,33,MEDIUM,DONE,139,7.89
474,33,MEDIUM,DONE,120,6.97
475,33,MEDIUM,DONE,72,1.74
476,33,MEDIUM,DELAYED,45,8.52
477,34,HIGH,DONE,24,12.88
478,34,HIGH,DONE,61,13.36
479,34,MEDIUM,DONE,32,14.23
480,34,HIGH,DONE,45,6.26
481,34,LOW,DONE,31,9.71
482,34,MEDIUM,DONE,53,11.58
483,34,HIGH,BLOCKED,13,11.92
484,34,MEDIUM,BLOCKED,61,9.85
485,34,MEDIUM,TODO,1,11.54
486,34,MEDIUM,IN_PROGRESS,2,11.24
487,34,MEDIUM,IN_PROGRESS,1,12.32
488,35,MEDIUM,DONE,16,14.46
489,35,MEDIUM,DONE,5,13.31
490,35,MEDIUM,DONE,11,21.1
491,35,HIGH,DELAYED,48,12.78
492,35,MEDIUM,DELAYED,39,17.2
493,35,MEDIUM,BLOCKED,3,11.14
494,35,HIGH,TODO,44,14.46
495,36,MEDIUM,DONE,10,8.65
496,36,MEDIUM,DONE,81,10.27
497,36,MEDIUM,DONE,10,11.36
498,36,MEDIUM,DONE,38,10.85
499,36,MEDIUM,DONE,59,11.86
500,36,HIGH,DONE,80,11.86
501,36,MEDIUM,DONE,58,5.05
502,36,LOW,DONE,11,10.72
503,36,MEDIUM,DONE,30,6.36
504,36,MEDIUM,DELAYED,126,8.87
505,36,MEDIUM,DELAYED,89,3.52
506,36,MEDIUM,DELAYED,62,13.14
507,36,LOW,DELAYED,77,8.09
508,36,HIGH,TODO,132,7.6
509,37,MEDIUM,DONE,43,7.68
510,37,MEDIUM,DONE,78,0.46
511,37,MEDIUM,DONE,86,8.81
512,37,LOW,DONE,51,9.14
513,37,HIGH,DONE,18,6.76
514,37,MEDIUM,DONE,10,7.07
515,37,HIGH,DONE,35,8.15
516,37,MEDIUM,DONE,64,7.44
517,37,MEDIUM,DONE,76,12.03
518,37,MEDIUM,DONE,51,7.35
519,37,MEDIUM,DONE,37,10.9
520,37,MEDIUM,DONE,72,4.96
521,37,HIGH,DONE,40,14.77
522,37,HIGH,DONE,7,12.63
523,37,MEDIUM,DONE,20,10.07
524,37,LOW,DONE,9,7.83
525,37,MEDIUM,DONE,84,8.07
526,37,LOW,DONE,56,8.6
527,37,MEDIUM,DONE,46,8.06
528,37,MEDIUM,DONE,74,5.91
529,37,LOW,DONE,9,6.11
530,37,MEDIUM,DONE,77,8.61
531,37,MEDIUM,DONE,17,4.89
532,38,MEDIUM,DONE,158,6.23
533,38,MEDIUM,DONE,166,2.55
534,38,LOW,DONE,46,7.39
535,38,MEDIUM,DONE,12,2.28
536,38,LOW,DONE,24,4.72
537,38,LOW,DONE,97,9.89
538,38,LOW,DONE,13,6.35
539,38,MEDIUM,DONE,162,5.4
540,38,MEDIUM,DONE,109,2.53
541,38,MEDIUM,DONE,2,3.01
542,38,MEDIUM,DONE,63,1.39
543,38,HIGH,DONE,79,4.27
544,38,MEDIUM,DONE,167,8.11
545,38,MEDIUM,DONE,2,5.49
546,38,LOW,DELAYED,40,13.52
547,38,MEDIUM,BLOCKED,23,3.06
548,38,MEDIUM,BLOCKED,31,10.24
549,39,MEDIUM,DONE,13,10.85
550,39,MEDIUM,DONE,81,6.55
551,39,MEDIUM,DONE,8,8.55
552,39,MEDIUM,DONE,36,11.87
553,39,HIGH,DONE,76,12.0
554,39,MEDIUM,DONE,51,12.22
555,39,MEDIUM,DONE,41,15.26
556,39,MEDIUM,DONE,18,8.3
557,39,MEDIUM,DONE,46,14.52
558,39,MEDIUM,DONE,4,4.9
559,39,HIGH,DELAYED,70,10.69
560,39,HIGH,DELAYED,64,10.62
561,39,MEDIUM,DELAYED,41,10.89
562,39,MEDIUM,DELAYED,38,13.76
563,39,MEDIUM,DELAYED,80,8.33
564,39,HIGH,DELAYED,27,12.36
565,39,HIGH,BLOCKED,72,10.1
566,39,HIGH,IN_PROGRESS,63,8.96
567,39,LOW,IN_PROGRESS,60,11.47
568,39,MEDIUM,TODO,69,11.7
569,39,MEDIUM,TODO,77,13.05
570,40,HIGH,DONE,31,8.83
571,40,MEDIUM,DONE,9,7.71
572,40,LOW,DONE,4,9.01
573,40,HIGH,DONE,24,10.51
574,40,MEDIUM,DONE,10,10.57
575,40,MEDIUM,DONE,18,8.83
576,40,MEDIUM,DELAYED,37,11.16
577,40,MEDIUM,DELAYED,25,10.83
578,40,LOW,DELAYED,17,11.81
579,40,MEDIUM,BLOCKED,32,9.41
580,40,HIGH,TODO,49,8.79
581,40,HIGH,IN_PROGRESS,17,5.68
582,40,MEDIUM,IN_PROGRESS,15,6.86
583,41,MEDIUM,DONE,121,8.56
584,41,MEDIUM,DONE,42,8.99
585,41,HIGH,DONE,3,6.2
586,41,HIGH,DONE,77,7.39
587,41,LOW,DONE,48,9.27
588,41,MEDIUM,DONE,52,10.28
589,41,MEDIUM,DELAYED,31,10.8
590,41,MEDIUM,DELAYED,120,7.92
591,41,MEDIUM,DELAYED,31,11.22
592,41,MEDIUM,BLOCKED,7,9.82
593,41,LOW,BLOCKED,1,7.13
594,41,MEDIUM,TODO,78,6.61
595,41,MEDIUM,TODO,34,2.44
596,42,MEDIUM,DONE,180,7.98
597,42,MEDIUM,DONE,145,6.64
598,42,MEDIUM,DONE,24,7.77
599,42,HIGH,DONE,122,9.28
600,42,LOW,DONE,20,5.54
601,42,LOW,DONE,78,10.74
602,42,HIGH,DONE,136,10.4
603,42,MEDIUM,DONE,174,9.61
604,42,LOW,DONE,22,14.64
605,42,MEDIUM,DONE,14,1.84
606,42,MEDIUM,DONE,151,13.5
607,42,HIGH,DONE,44,10.77
608,42,MEDIUM,DONE,36,10.73
609,42,MEDIUM,DONE,45,12.47
610,42,LOW,DONE,67,6.97
611,42,LOW,DONE,16,11.29
612,42,HIGH,DONE,127,10.16
613,42,LOW,DONE,58,12.12
614,42,LOW,DONE,3,8.45
615,42,HIGH,DELAYED,134,6.79
616,42,MEDIUM,DELAYED,113,8.88
617,42,HIGH,DELAYED,130,13.24
618,42,HIGH,DELAYED,7,6.07
619,43,LOW,DONE,87,16.86
620,43,MEDIUM,DONE,32,14.06
621,43,MEDIUM,DONE,17,19.75
622,43,LOW,DONE,94,11.74
623,43,HIGH,DONE,4,17.33
624,43,HIGH,DONE,81,16.65
625,43,HIGH,DONE,99,12.66
626,43,MEDIUM,DONE,36,18.92
627,43,HIGH,DONE,47,15.96
628,43,HIGH,DONE,53,13.5
629,43,HIGH,DONE,54,14.2
630,43,LOW,DONE,57,9.44
631,43,MEDIUM,DONE,45,19.35
632,43,LOW,DONE,109,22.8
633,43,LOW,DONE,40,16.89
634,43,LOW,DELAYED,101,13.55
635,43,HIGH,DELAYED,101,18.74
636,44,HIGH,DONE,63,14.76
637,44,LOW,DONE,16,13.25
638,44,MEDIUM,DONE,10,9.56
639,44,MEDIUM,DONE,2,12.25
640,44,MEDIUM,DONE,41,10.23
641,44,MEDIUM,DONE,35,12.02
642,44,HIGH,DONE,72,9.43
643,44,HIGH,DONE,70,20.4
644,44,LOW,DONE,43,8.52
645,44,MEDIUM,DELAYED,25,16.44
646,44,HIGH,DELAYED,5,13.3
647,44,LOW,DELAYED,50,7.7
648,44,MEDIUM,BLOCKED,73,14.27
649,44,LOW,BLOCKED,20,11.27
650,44,HIGH,IN_PROGRESS,2,10.68
651,45,LOW,DONE,134,11.79
652,45,MEDIUM,DONE,122,13.28
653,45,MEDIUM,DONE,135,13.69
654,45,MEDIUM,DONE,107,11.21
655,45,HIGH,DONE,77,8.94
656,45,MEDIUM,DONE,111,8.91
657,45,MEDIUM,DONE,84,11.37
658,45,LOW,DONE,58,6.52
659,45,MEDIUM,DONE,73,11.52
660,45,MEDIUM,DELAYED,103,9.18
661,45,LOW,DELAYED,28,9.62
662,46,MEDIUM,DONE,76,0.55
663,46,MEDIUM,DONE,51,5.5
664,46,LOW,DONE,15,4.49
665,46,HIGH,DONE,65,4.71
666,46,MEDIUM,DONE,62,8.56
667,46,MEDIUM,DONE,46,5.3
668,46,HIGH,DONE,77,6.05
669,46,MEDIUM,DONE,54,0.0
670,46,LOW,DELAYED,5,5.38
671,46,HIGH,BLOCKED,80,6.01
672,46,LOW,BLOCKED,45,5.11
673,46,MEDIUM,BLOCKED,54,2.43
