review_id,project_id,reviewer_id,reviewee_id,rating,comment_length
197,197,189,1127,4,95
198,198,70,1153,5,74
199,199,186,1060,3,85
200,200,114,1652,3,107
201,201,214,1920,5,112
202,202,41,1321,5,230
203,203,138,1179,4,63
204,204,16,1946,4,206
205,205,162,1523,3,99
206,206,88,1380,2,174
207,207,68,1138,4,110
208,208,43,1258,5,33
209,209,185,1267,5,76
210,210,122,1384,3,208
211,211,139,1184,4,23
212,212,93,1124,5,106
213,213,167,1352,5,243
214,214,147,1499,5,60
215,215,183,1858,4,117
216,216,38,1145,3,181
217,217,24,1074,3,74
218,218,144,1395,3,62
219,219,44,1460,5,134
220,220,204,1632,5,201
221,221,57,1677,2,238
222,222,88,1000,3,234
223,223,212,1734,2,101
224,224,85,1424,5,209
225,225,78,1152,3,172
226,226,100,1122,5,107
227,227,136,1252,5,94
228,228,168,1771,5,125
229,229,30,1660,3,29
230,230,6,1879,5,78
231,231,110,1984,5,46
232,232,145,1615,4,126
233,233,194,1989,2,82
234,234,157,1477,4,83
235,235,128,1135,3,50
236,236,122,1956,2,50
237,237,116,1476,4,77
238,238,199,1673,3,99
239,239,43,1170,5,242
240,240,125,1753,5,50
241,241,180,1066,2,224
242,242,140,1299,4,88
243,243,110,1270,3,95
244,244,133,1107,5,137
245,245,35,1743,5,229
246,246,123,1231,5,71
247,247,85,1658,5,102
248,248,21,1152,5,200
249,249,155,1674,4,196
250,250,208,1042,4,26
251,251,147,1107,5,123
252,252,61,1122,5,36
253,253,32,1609,5,43
254,254,159,1845,4,33
255,255,20,1335,4,98
256,256,152,1934,5,246
257,257,97,1972,5,127
258,258,9,1141,4,133
259,259,85,1731,3,164
260,260,110,1252,5,95
261,261,212,1953,5,242
262,262,19,1055,4,191
263,263,144,1534,5,100
264,264,107,1182,4,172
265,265,149,1635,5,92
266,266,177,1665,3,35
267,267,216,1673,4,200
268,268,3,1987,3,163
269,269,28,1379,4,25
270,270,78,1117,5,58
271,271,13,1247,5,217
272,272,113,1331,2,108
273,273,97,1693,4,35
274,274,189,1472,3,162
275,275,7,1706,4,245
276,276,2,1006,4,235
277,277,34,1252,4,233
278,278,78,1225,5,140
279,279,43,1173,4,227
280,280,204,1634,4,150
281,281,18,1013,5,172
282,282,28,1899,4,111
283,283,24,1581,5,143
284,284,165,1670,5,166
285,285,19,1013,4,209
286,286,178,1055,4,37
287,287,198,1315,4,49
288,288,149,1929,4,36
289,289,185,1687,5,109
290,290,61,1647,5,167
291,291,36,1928,3,135
292,292,135,1384,4,129
293,293,29,1186,4,25
294,294,9,1895,4,105
295,295,95,1255,4,174
296,296,76,1380,5,83
297,297,218,1509,5,193
298,298,171,1237,4,146
299,299,190,1928,5,111
300,300,158,1452,3,25
301,301,112,1185,3,229
302,302,153,1709,4,34
303,303,95,1137,5,240
304,304,83,1497,5,191
305,305,50,1089,4,51
306,306,47,1081,4,181
307,307,124,1156,3,57
308,308,93,1174,3,34
309,309,151,1981,2,182
310,310,29,1518,5,175
311,311,176,1524,5,194
312,312,212,1666,4,228
313,313,20,1192,5,42
314,314,147,1545,5,140
315,315,23,1208,5,104
316,316,6,1348,4,66
317,317,194,1768,4,47
318,318,138,1208,5,224
319,319,213,1988,5,198
320,320,207,1461,5,71
321,321,148,1440,3,232
322,322,216,1609,4,75
323,323,133,1184,4,114
324,324,184,1735,5,62
325,325,17,1567,4,140
326,326,201,1654,4,185
327,327,51,1091,4,205
328,328,27,1614,2,31
329,329,6,1837,5,179
330,330,104,1751,5,29
331,331,32,1122,4,149
332,332,2,1159,5,168
333,333,175,1326,5,166
334,334,161,1458,2,48
335,335,117,1087,5,152
336,336,104,1894,4,57
337,337,89,1879,4,138
338,338,207,1876,2,153
339,339,121,1844,3,172
340,340,163,1335,5,60
341,341,138,1764,4,157
342,342,123,1305,4,89
343,343,171,1189,4,52
344,344,133,1613,4,199
345,345,149,1627,4,49
346,346,193,1824,5,40
347,347,141,1816,5,85
348,348,78,1793,5,166
349,349,39,1760,5,144
350,350,20,1911,4,67
351,351,155,1641,4,132
352,352,181,1582,5,120
353,353,96,1290,2,114
354,354,100,1081,4,77
355,355,181,1631,4,110
356,356,152,1438,4,20
357,357,53,1057,5,30
358,358,176,1896,4,204
359,359,174,1530,5,248
360,360,60,1817,3,79
361,361,176,1782,2,169
362,362,109,1882,4,146
363,363,65,1984,5,30
364,364,203,1815,4,173
365,365,7,1116,3,129
366,366,218,1871,4,111
367,367,158,1340,5,240
368,368,164,1562,2,47
369,369,124,1258,5,144
370,370,200,1346,5,104
371,371,210,1203,4,157
372,372,191,1255,5,27
373,373,137,1544,2,121
374,374,48,1152,5,33
375,375,1,1553,5,33
376,376,197,1576,4,158
377,377,33,1154,5,119
378,378,129,1136,4,35
379,379,71,1137,5,109
380,380,196,1085,5,56
381,381,72,1960,5,196
382,382,145,1061,5,234
383,383,186,1295,4,224
384,384,202,1398,4,154
385,385,134,1833,5,207
386,386,163,1034,4,96
387,387,168,1860,5,146
388,388,41,1980,4,30
389,389,23,1463,4,42
390,390,29,1324,4,26
391,391,114,1712,3,242
392,392,51,1645,4,234
393,393,34,1110,4,102
394,394,110,1228,5,247
395,395,43,1002,4,227
396,396,193,1691,5,89
397,397,169,1546,4,140
398,398,24,1012,5,59
399,399,22,1073,2,56
400,400,13,1424,4,61
401,401,28,1117,4,111
402,402,65,1126,4,171
403,403,24,1650,3,192
404,404,170,1459,4,99
405,405,3,1791,5,113
406,406,35,1099,3,91
407,407,219,1031,4,43
408,408,183,1769,4,101
409,409,20,1868,5,21
410,410,62,1825,4,74
411,411,92,1897,4,55
412,412,65,1871,5,64
413,413,109,1697,4,149
414,414,140,1941,5,117
415,415,77,1843,4,123
416,416,120,1406,2,163
417,417,49,1137,4,74
418,418,49,1299,5,184
419,419,171,1147,4,202
420,420,64,1672,5,209
421,421,107,1126,4,66
422,422,197,1461,4,95
423,423,172,1372,3,125
424,424,105,1082,5,62
425,425,213,1403,4,99
426,426,149,1476,4,82
427,427,13,1918,5,212
428,428,195,1835,4,73
429,429,198,1972,1,182
430,430,99,1289,3,85
431,431,165,1293,5,148
432,432,37,1182,5,32
433,433,116,1841,4,87
434,434,220,1696,2,186
435,435,138,1564,4,78
436,436,79,1335,5,182
437,437,195,1394,4,245
438,438,155,1069,4,158
439,439,167,1224,5,109
440,440,60,1571,3,118
441,441,150,1605,5,59
442,442,63,1419,4,98
443,443,170,1597,4,157
444,444,76,1153,4,209
445,445,201,1269,4,188
446,446,112,1360,4,100
447,447,175,1885,5,57
448,448,100,1359,5,68
449,449,114,1263,3,185
450,450,36,1337,2,37
451,451,120,1287,4,57
452,452,187,1010,4,163
453,453,58,1287,4,104
454,454,10,1421,2,170
455,455,41,1290,4,196
456,456,64,1688,5,75
457,457,14,1531,4,146
458,458,177,1419,3,45
459,459,33,1430,3,157
460,460,146,1734,5,86
461,461,177,1618,4,64
462,462,109,1189,5,222
463,463,36,1087,4,128
464,464,112,1361,5,107
465,465,18,1291,4,50
466,466,78,1020,2,59
467,467,25,1926,2,174
468,468,51,1715,4,175
469,469,24,1605,4,113
470,470,89,1079,4,219
471,471,30,1768,2,53
472,472,170,1125,5,65
473,473,149,1577,5,241
474,474,123,1029,3,79
475,475,53,1357,5,95
476,476,98,1080,4,215
477,477,58,1477,4,87
478,478,71,1239,4,27
479,479,169,1419,4,245
480,480,37,1234,2,152
481,481,109,1101,5,189
482,482,218,1585,4,64
483,483,152,1746,5,106
484,484,29,1481,3,76
485,485,197,1453,4,90
486,486,117,1869,2,81
487,487,207,1130,5,241
488,488,184,1165,1,224
489,489,198,1106,2,145
490,490,35,1216,4,100
491,491,214,1986,5,179
492,492,39,1817,4,154
493,493,51,1925,5,148
494,494,152,1180,3,54
495,495,161,1999,4,25
496,496,184,1015,5,21
497,497,207,1110,3,209
498,498,43,1766,4,227
499,499,95,1344,3,218
500,500,116,1628,5,98
501,501,181,1062,4,119
502,502,127,1677,5,74
503,503,95,1573,4,88
504,504,176,1684,5,172
505,505,68,1647,4,206
506,506,194,1896,3,107
507,507,89,1129,2,27
508,508,136,1252,5,219
509,509,85,1769,4,156
510,510,176,1017,4,157
511,511,77,1519,4,98
512,512,189,1847,1,30
513,513,130,1246,4,40
514,514,64,1878,3,100
515,515,123,1596,5,81
516,516,168,1219,5,111
517,517,162,1866,5,199
518,518,173,1313,5,174
519,519,50,1312,4,188
520,520,45,1849,3,169
521,521,7,1405,5,118
522,522,5,1090,2,201
523,523,107,1794,5,235
524,524,93,1442,4,132
525,525,39,1023,5,199
526,526,188,1391,5,178
527,527,146,1949,4,138
528,528,17,1688,2,170
529,529,211,1552,5,218
530,530,166,1588,5,98
531,531,82,1267,5,92
532,532,177,1319,5,66
533,533,214,1421,5,115
534,534,15,1108,4,232
535,535,108,1052,5,161
536,536,206,1956,5,49
537,537,85,1242,5,105
538,538,191,1832,4,108
539,539,146,1940,4,203
540,540,143,1064,4,242
541,541,1,1911,4,91
542,542,113,1863,5,233
543,543,108,1183,4,232
544,544,102,1097,4,76
545,545,98,1850,5,115
546,546,164,1955,4,249
547,547,92,1853,4,197
548,548,50,1988,3,190
549,549,113,1593,5,141
550,550,129,1810,4,119
551,551,94,1944,5,182
552,552,183,1559,5,105
553,553,167,1801,5,87
554,554,54,1178,4,62
555,555,160,1373,5,247
556,556,55,1603,5,201
557,557,156,1710,5,139
558,558,93,1373,4,82
559,559,29,1117,4,182
560,560,118,1053,5,206
561,561,209,1246,1,151
562,562,202,1319,4,47
563,563,5,1589,5,44
564,564,120,1945,4,136
565,565,129,1997,4,32
566,566,38,1186,3,140
567,567,166,1668,5,56
568,568,95,1765,4,229
569,569,127,1398,4,30
570,570,181,1050,4,224
571,571,148,1883,4,74
572,572,166,1365,4,216
573,573,93,1650,4,62
574,574,94,1294,5,218
575,575,145,1366,5,100
576,576,169,1749,4,51
577,577,206,1618,5,169
578,578,123,1729,5,156
579,579,59,1294,4,168
580,580,201,1048,3,238
581,581,80,1194,4,147
582,582,56,1526,5,182
583,583,122,1417,4,65
584,584,27,1887,4,139
585,585,127,1499,4,29
586,586,120,1324,3,242
587,587,29,1556,4,125
588,588,140,1642,5,194
589,589,184,1019,5,184
590,590,113,1589,4,135
591,591,26,1373,3,181
592,592,144,1081,4,178
593,593,185,1747,5,167
594,594,93,1783,4,224
595,595,5,1538,4,131
596,596,183,1682,3,86
597,597,68,1126,3,183
598,598,58,1217,3,159
599,599,33,1287,5,41
600,600,123,1188,4,106
601,601,183,1053,4,95
602,602,35,1801,4,208
603,603,63,1361,5,78
604,604,161,1827,5,37
605,605,102,1253,5,97
606,606,198,1324,4,213
607,607,123,1877,4,174
608,608,81,1539,2,107
609,609,208,1055,5,189
610,610,15,1170,5,128
611,611,200,1867,4,39
612,612,43,1188,4,184
613,613,74,1089,4,182
614,614,195,1127,4,122
615,615,65,1475,5,62
616,616,170,1937,3,95
617,617,147,1410,5,77
618,618,55,1360,5,134
619,619,7,1178,5,100
620,620,202,1998,4,212
621,621,219,1333,4,40
622,622,134,1038,5,246
623,623,97,1593,4,168
624,624,53,1139,4,119
625,625,172,1924,5,244
626,626,189,1962,4,77
627,627,155,1615,5,36
628,628,4,1268,5,99
629,629,119,1396,4,206
630,630,118,1559,5,241
631,631,143,1073,3,205
632,632,128,1423,5,174
633,633,87,1392,4,231
634,634,11,1110,5,184
635,635,206,1070,5,243
636,636,87,1863,4,208
637,637,70,1911,3,152
638,638,154,1598,5,243
639,639,105,1286,4,203
640,640,7,1495,5,124
641,641,148,1728,5,247
642,642,191,1555,5,135
643,643,152,1113,2,133
644,644,190,1778,4,51
645,645,153,1665,5,210
646,646,164,1481,5,187
647,647,97,1984,3,162
648,648,124,1339,5,194
649,649,191,1819,5,164
650,650,23,1071,3,216
651,651,117,1202,4,53
652,652,188,1014,5,172
653,653,170,1294,5,87
654,654,72,1598,3,199
655,655,124,1865,5,112
656,656,48,1633,4,24
657,657,169,1388,5,47
658,658,47,1221,4,248
659,659,91,1517,4,242
660,660,147,1044,5,204
661,661,30,1141,4,86
662,662,42,1886,5,36
663,663,71,1649,4,136
664,664,91,1254,5,139
665,665,65,1730,4,232
666,666,133,1454,3,48
667,667,126,1113,5,20
668,668,152,1328,5,140
669,669,161,1972,5,237
670,670,88,1119,4,40
671,671,58,1796,5,137
672,672,151,1623,4,151
673,673,210,1742,4,161
674,674,170,1492,4,159
675,675,137,1080,4,69
676,676,208,1162,5,153
677,677,5,1655,4,27
678,678,74,1951,4,128
679,679,181,1802,5,95
680,680,75,1687,4,107
681,681,25,1977,5,115
682,682,186,1750,5,193
683,683,57,1080,2,153
684,684,100,1315,4,160
685,685,140,1270,5,218
686,686,195,1104,4,245
687,687,5,1227,4,123
688,688,70,1674,4,222
689,689,88,1968,3,114
690,690,217,1164,2,29
691,691,133,1508,4,98
692,692,134,1585,4,53
693,693,110,1696,4,236
694,694,156,1541,5,177
695,695,213,1691,5,168
696,696,103,1889,4,84
697,697,187,1448,5,38
698,698,122,1813,4,21
699,699,121,1385,5,91
700,700,3,1741,4,87
701,701,180,1691,3,87
702,702,38,1634,5,133
703,703,41,1181,3,224
704,704,182,1287,4,140
705,705,136,1745,4,249
706,706,191,1829,4,80
707,707,36,1509,5,154
708,708,24,1382,5,31
709,709,19,1073,2,133
710,710,1,1595,5,239
711,711,76,1894,2,138
712,712,199,1947,4,180
713,713,64,1839,4,191
714,714,176,1865,5,122
715,715,60,1733,4,172
716,716,47,1270,4,157
717,717,114,1381,4,66
718,718,155,1000,2,167
719,719,157,1739,4,244
720,720,62,1480,4,61
721,721,165,1845,5,244
722,722,13,1034,4,98
723,723,129,1787,4,33
724,724,219,1457,4,221
725,725,30,1971,5,116
726,726,152,1097,2,75
727,727,102,1671,5,108
728,728,116,1353,4,152
729,729,23,1568,3,134
730,730,31,1287,5,124
731,731,194,1474,5,40
732,732,79,1218,5,162
733,733,199,1670,4,232
734,734,78,1342,5,189
735,735,174,1076,4,230
736,736,218,1379,5,161
737,737,201,1725,4,95
738,738,204,1973,5,59
739,739,215,1227,3,56
740,740,120,1606,2,119
741,741,184,1059,4,137
742,742,58,1394,5,226
743,743,177,1770,4,162
744,744,113,1623,5,68
745,745,144,1843,4,53
746,746,163,1953,4,201
747,747,24,1126,5,33
748,748,193,1657,4,183
749,749,118,1824,4,102
750,750,25,1365,3,34
751,751,38,1315,3,161
752,752,72,1032,4,144
753,753,153,1171,4,90
754,754,99,1932,5,162
755,755,197,1812,4,115
756,756,94,1015,4,225
757,757,7,1943,3,39
758,758,135,1522,3,191
759,759,31,1229,5,161
760,760,64,1746,4,207
761,761,180,1178,4,185
762,762,162,1193,3,138
763,763,215,1767,5,76
764,764,99,1903,5,227
765,765,108,1566,4,247
766,766,38,1181,5,48
767,767,141,1944,5,182
768,768,130,1567,4,118
769,769,77,1405,4,213
770,770,7,1736,5,34
771,771,188,1723,5,144
772,772,30,1786,5,239
773,773,65,1899,5,127
774,774,105,1989,5,165
775,775,87,1010,5,52
776,776,101,1438,5,218
777,777,175,1146,4,182
778,778,56,1343,4,141
779,779,175,1980,5,156
780,780,34,1332,5,21
781,781,7,1647,4,189
782,782,15,1636,2,186
783,783,176,1286,4,203
784,784,180,1997,4,191
785,785,92,1200,3,126
786,786,193,1399,4,244
787,787,53,1715,5,174
788,788,122,1239,5,152
789,789,9,1282,3,93
790,790,4,1213,5,202
791,791,122,1339,3,111
792,792,76,1954,4,216
793,793,184,1085,5,207
794,794,51,1418,5,130
795,795,111,1533,5,64
796,796,97,1666,4,132
797,797,158,1555,4,123
798,798,129,1971,2,117
799,799,17,1129,4,169
800,800,31,1835,5,73
801,801,160,1457,4,115
802,802,50,1876,5,221
803,803,83,1989,4,214
804,804,72,1230,3,229
805,805,45,1774,3,50
806,806,218,1095,4,138
807,807,77,1252,5,89
808,808,9,1945,3,140
809,809,59,1167,5,207
810,810,64,1440,3,145
811,811,196,1285,4,233
812,812,170,1124,4,55
813,813,171,1953,4,90
814,814,43,1391,5,244
815,815,171,1549,4,65
816,816,172,1866,4,23
817,817,194,1563,5,95
818,818,201,1084,4,130
819,819,185,1930,5,231
820,820,11,1385,3,165
821,821,111,1791,4,217
822,822,22,1401,4,237
823,823,176,1620,4,208
824,824,135,1934,2,72
825,825,87,1671,4,38
826,826,173,1511,4,135
827,827,72,1581,5,53
828,828,81,1166,5,61
829,829,218,1912,5,94
830,830,125,1167,5,55
831,831,194,1783,4,53
832,832,21,1192,5,67
833,833,94,1183,4,140
834,834,67,1581,5,229
835,835,56,1837,4,65
836,836,218,1662,5,187
837,837,182,1284,4,58
838,838,117,1185,5,65
839,839,152,1241,4,188
840,840,159,1560,4,224
841,841,101,1325,5,111
842,842,21,1314,4,57
843,843,51,1129,4,199
844,844,174,1321,5,93
845,845,145,1597,5,61
846,846,141,1950,5,235
847,847,86,1133,5,211
848,848,101,1547,5,79
849,849,6,1852,4,34
850,850,216,1985,5,184
851,851,191,1938,4,113
852,852,35,1375,3,177
853,853,6,1653,3,27
854,854,141,1808,5,236
855,855,171,1866,3,74
856,856,127,1296,2,118
857,857,110,1537,4,118
858,858,185,1320,3,145
859,859,179,1309,5,122
860,860,170,1847,3,237
861,861,11,1708,4,169
862,862,64,1996,4,220
863,863,110,1093,4,75
864,864,157,1856,5,200
865,865,156,1369,5,162
866,866,44,1407,5,183
867,867,82,1708,5,83
868,868,38,1764,2,105
869,869,148,1731,5,39
870,870,156,1160,5,202
871,871,27,1669,5,20
872,872,97,1117,4,174
873,873,167,1753,3,216
874,874,1,1009,2,233
875,875,47,1933,3,139
876,876,146,1055,5,237
877,877,93,1603,4,138
878,878,23,1273,4,28
879,879,84,1726,2,214
880,880,86,1805,4,210
881,881,25,1235,4,236
882,882,186,1926,4,28
883,883,158,1644,5,189
884,884,131,1541,5,146
885,885,103,1624,5,159
886,886,28,1718,4,46
887,887,124,1726,4,222
888,888,62,1582,4,103
889,889,128,1695,5,52
890,890,76,1899,4,111
891,891,212,1849,5,242
892,892,176,1506,1,192
893,893,116,1542,4,46
894,894,114,1453,4,53
895,895,145,1892,4,75
896,896,72,1817,4,175
897,897,196,1533,4,210
898,898,172,1471,4,87
899,899,28,1977,4,34
900,900,45,1274,3,108
